algoritmo,execucao,semente,valor,valor_inicial,beneficio,custo_movimento,tempo_min,viavel,avaliacoes,pioras_aceitas,parada
subida_encosta,1,24114036,874.5,630.5,931,113,293,True,3000,0,orcamento
tempera_simulada,1,24114036,1314.5,630.5,1374,119,299,True,3000,167,orcamento
subida_encosta,2,24114037,990.5,806.5,1055,129,309,True,3000,0,orcamento
tempera_simulada,2,24114037,1300.5,806.5,1357,113,293,True,3000,181,orcamento
subida_encosta,3,24114038,1036.5,868.0,1089,105,285,True,3000,0,orcamento
tempera_simulada,3,24114038,1310.0,868.0,1371,122,302,True,3000,193,orcamento
subida_encosta,4,24114039,750.5,572.0,821,141,321,True,3000,0,orcamento
tempera_simulada,4,24114039,1315.5,572.0,1378,125,305,True,3000,171,orcamento
subida_encosta,5,24114040,818.0,638.5,876,116,296,True,3000,0,orcamento
tempera_simulada,5,24114040,1317.0,638.5,1375,116,296,True,3000,167,orcamento
subida_encosta,6,24114041,893.5,677.0,961,135,315,True,3000,0,orcamento
tempera_simulada,6,24114041,1317.5,677.0,1377,119,299,True,3000,183,orcamento
subida_encosta,7,24114042,856.0,669.5,906,100,280,True,3000,0,orcamento
tempera_simulada,7,24114042,1317.0,669.5,1375,116,296,True,3000,175,orcamento
subida_encosta,8,24114043,997.5,840.5,1063,131,311,True,3000,0,orcamento
tempera_simulada,8,24114043,1317.5,840.5,1377,119,299,True,3000,198,orcamento
subida_encosta,9,24114044,1015.5,825.5,1072,113,293,True,3000,0,orcamento
tempera_simulada,9,24114044,1317.5,825.5,1377,119,299,True,3000,167,orcamento
subida_encosta,10,24114045,793.0,591.0,848,110,290,True,3000,0,orcamento
tempera_simulada,10,24114045,1317.5,591.0,1377,119,299,True,3000,165,orcamento
subida_encosta,11,24114046,985.5,795.5,1047,123,303,True,3000,0,orcamento
tempera_simulada,11,24114046,1317.5,795.5,1377,119,299,True,3000,179,orcamento
subida_encosta,12,24114047,962.0,738.5,1020,116,296,True,3000,0,orcamento
tempera_simulada,12,24114047,1317.5,738.5,1377,119,299,True,3000,173,orcamento
subida_encosta,13,24114048,874.5,675.5,924,99,279,True,3000,0,orcamento
tempera_simulada,13,24114048,1317.5,675.5,1377,119,299,True,3000,164,orcamento
subida_encosta,14,24114049,742.5,494.5,795,105,285,True,3000,0,orcamento
tempera_simulada,14,24114049,1317.0,494.5,1375,116,296,True,3000,156,orcamento
subida_encosta,15,24114050,944.0,751.5,985,82,262,True,3000,0,orcamento
tempera_simulada,15,24114050,1317.5,751.5,1377,119,299,True,3000,195,orcamento
subida_encosta,16,24114051,891.5,608.5,966,149,329,True,3000,0,orcamento
tempera_simulada,16,24114051,1317.5,608.5,1377,119,299,True,3000,160,orcamento
subida_encosta,17,24114052,897.0,707.0,935,76,256,True,3000,0,orcamento
tempera_simulada,17,24114052,1317.5,707.0,1377,119,299,True,3000,174,orcamento
subida_encosta,18,24114053,901.0,700.0,963,124,304,True,3000,0,orcamento
tempera_simulada,18,24114053,1317.5,700.0,1377,119,299,True,3000,168,orcamento
subida_encosta,19,24114054,916.5,731.5,987,141,321,True,3000,0,orcamento
tempera_simulada,19,24114054,1315.5,731.5,1378,125,305,True,3000,186,orcamento
subida_encosta,20,24114055,819.0,617.0,886,134,314,True,3000,0,orcamento
tempera_simulada,20,24114055,1313.5,617.0,1373,119,299,True,3000,152,orcamento
subida_encosta,21,24114056,1023.0,837.0,1079,112,292,True,3000,0,orcamento
tempera_simulada,21,24114056,1317.5,837.0,1377,119,299,True,3000,174,orcamento
subida_encosta,22,24114057,793.5,543.5,842,97,277,True,3000,0,orcamento
tempera_simulada,22,24114057,1317.5,543.5,1377,119,299,True,3000,158,orcamento
subida_encosta,23,24114058,765.0,572.5,831,132,312,True,3000,0,orcamento
tempera_simulada,23,24114058,1317.5,572.5,1377,119,299,True,3000,177,orcamento
subida_encosta,24,24114059,894.0,669.0,947,106,286,True,3000,0,orcamento
tempera_simulada,24,24114059,1314.0,669.0,1372,116,296,True,3000,190,orcamento
subida_encosta,25,24114060,980.0,803.5,1040,120,300,True,3000,0,orcamento
tempera_simulada,25,24114060,1313.5,803.5,1374,121,301,True,3000,166,orcamento
subida_encosta,26,24114061,882.5,702.0,937,109,289,True,3000,0,orcamento
tempera_simulada,26,24114061,1317.0,702.0,1375,116,296,True,3000,170,orcamento
subida_encosta,27,24114062,797.5,618.0,860,125,305,True,3000,0,orcamento
tempera_simulada,27,24114062,1314.5,618.0,1374,119,299,True,3000,163,orcamento
subida_encosta,28,24114063,773.5,578.0,830,113,293,True,3000,0,orcamento
tempera_simulada,28,24114063,1317.5,578.0,1377,119,299,True,3000,200,orcamento
subida_encosta,29,24114064,931.0,785.0,991,120,300,True,3000,0,orcamento
tempera_simulada,29,24114064,1317.5,785.0,1377,119,299,True,3000,173,orcamento
subida_encosta,30,24114065,874.0,620.5,922,96,276,True,3000,0,orcamento
tempera_simulada,30,24114065,1317.5,620.5,1377,119,299,True,3000,160,orcamento
